ID,Embedding,CreatedAt,Sekolah
1,"[0.45810335874557495,0.09431731700897217,1.5791425704956055,-1.3735957145690918,1.0575329065322876,2.998337745666504,2.2689571380615234,-1.8898286819458008,-2.0144217014312744,-6.691882610321045,2.4431397914886475,-3.5663137435913086,-1.8352837562561035,0.048918917775154114,-2.2510735988616943,-1.6032778024673462,0.588295578956604,-2.0796737670898438,-0.8362560272216797,-2.1677770614624023,3.7756505012512207,-5.956350326538086,2.246609687805176,4.047230243682861,1.804123878479004,3.8377695083618164,3.9244046211242676,-0.22726920247077942,-2.6841681003570557,-3.9713668823242188,-0.7981522083282471,6.959760665893555,-0.9772722721099854,1.1208183765411377,-1.154774785041809,1.8036082983016968,4.630404949188232,-4.475090503692627,-1.0646414756774902,3.740955114364624,1.813362956047058,-1.2716158628463745,1.1486506462097168,-1.4263978004455566,-4.390777587890625,3.6159181594848633,3.161836862564087,0.5402320623397827,-1.2978171110153198,-5.271373271942139,4.004500389099121,-0.6740975379943848,4.899282455444336,1.2127859592437744,2.856832504272461,9.415252685546875,1.902484655380249,-3.9274420738220215,2.310927391052246,3.0164172649383545,-1.6934776306152344,1.1153181791305542,2.8467676639556885,3.3239846229553223,0.41790589690208435,-0.36632293462753296,5.871395587921143,0.804183304309845,2.3496971130371094,3.447699546813965,2.120499849319458,4.799055099487305,-0.3387000262737274,4.351268291473389,-4.0349602699279785,1.9168528318405151,-1.7175663709640503,2.050976037979126,-5.762304306030273,-4.312376499176025,-0.94675213098526,1.3276498317718506,-0.05204316973686218,0.5865181684494019,3.394188165664673,0.31374287605285645,3.1520566940307617,-5.752917766571045,3.5241217613220215,1.3999722003936768,0.8678975105285645,-4.6325578689575195,0.6286892294883728,-0.5183377265930176,-1.1146867275238037,6.459505081176758,4.310449600219727,-4.123685836791992,3.496337413787842,2.245452404022217,-2.0153040885925293,-4.321877479553223,2.776395320892334,-1.106429100036621,-1.1248443126678467,-4.0790557861328125,-6.187572956085205,4.686388969421387,3.744305372238159,-1.6449030637741089,-4.6711859703063965,-0.37531864643096924,4.3132829666137695,-1.3574633598327637,0.1255204975605011,2.3269107341766357,-0.6228373050689697,4.005364894866943,-0.01405467838048935,-4.136157989501953,1.4126951694488525,-3.6054117679595947,4.3216657638549805,0.4342573285102844,0.6998769640922546,1.3025133609771729,1.9755007028579712,-4.17203950881958]",2026-05-18T03:25:44.156Z,
2,"[0.04055790975689888,1.5719457864761353,2.345597505569458,-0.5614594221115112,2.2554843425750732,3.196291446685791,4.546307563781738,-1.80272376537323,-0.2570216655731201,-7.61148738861084,2.957803964614868,-3.80666446685791,-1.7635983228683472,0.9331752061843872,-4.211760520935059,-2.937932252883911,1.177119255065918,-3.3959240913391113,-0.5407441258430481,-2.310883045196533,2.796741247177124,-5.329543113708496,1.017199993133545,4.021822452545166,1.346642017364502,4.680495738983154,4.791090488433838,-1.6371053457260132,-1.7137497663497925,-5.127770900726318,-0.3393922746181488,7.283902168273926,-1.5985159873962402,0.8494260907173157,-1.6491652727127075,1.413152813911438,5.2759318351745605,-3.712026357650757,-0.3050216734409332,2.82912015914917,1.6285836696624756,-0.5275114178657532,0.6446373462677002,-1.2862169742584229,-4.217382431030273,3.9974730014801025,2.8838062286376953,-0.03973118215799332,-0.5728197693824768,-4.362668514251709,3.962092638015747,0.24578595161437988,4.372335433959961,1.4549378156661987,1.070732831954956,9.48420524597168,1.6812950372695923,-4.496715545654297,2.2265844345092773,4.0236992835998535,-2.841371536254883,0.8248825669288635,2.8228750228881836,2.5999155044555664,-0.03407055884599686,0.9842597246170044,5.871274471282959,0.9843045473098755,3.398991584777832,4.28378438949585,2.2237634658813477,4.92885160446167,-1.5254929065704346,5.110718727111816,-5.062228202819824,1.703628420829773,-1.5849041938781738,1.405791997909546,-6.029745578765869,-3.857818126678467,-0.7369266748428345,2.097456455230713,1.2428948879241943,-0.7776324152946472,2.042954206466675,1.713698387145996,4.917459487915039,-6.552483558654785,2.562483787536621,2.1359386444091797,-0.37806692719459534,-4.437119007110596,0.5024908185005188,-1.9047414064407349,-1.121488094329834,7.01652193069458,3.1555070877075195,-3.7897562980651855,3.9470252990722656,2.9954347610473633,-3.603985548019409,-3.9225656986236572,3.0375757217407227,-0.885398268699646,-1.4137179851531982,-2.5324902534484863,-6.5469584465026855,5.1000447273254395,2.760240316390991,-2.7370080947875977,-4.192764759063721,-1.5718965530395508,4.053020000457764,-1.1299680471420288,-0.07393024116754532,3.9604790210723877,-1.331602931022644,3.310379981994629,-0.223817378282547,-4.358822822570801,0.7747412919998169,-3.708022356033325,3.7907111644744873,0.9727990627288818,-0.04382903873920441,2.2919795513153076,2.161369800567627,-4.215334415435791]",2026-05-18T03:27:13.654Z,
3,"[0.02500743791460991,1.0823479890823364,0.5922726392745972,-0.8379747271537781,1.5726985931396484,1.9856171607971191,1.5485682487487793,-1.6442444324493408,-1.1156038045883179,-3.5034306049346924,1.3639917373657227,-3.322244167327881,-1.4268618822097778,0.8289777040481567,-1.111798882484436,-1.4787335395812988,0.48430463671684265,-2.6751134395599365,0.46998241543769836,-1.8154646158218384,1.159609317779541,-3.785283088684082,1.0393054485321045,2.2427539825439453,0.9077364206314087,3.4659714698791504,3.1076810359954834,0.4525392949581146,-1.9783527851104736,-3.6046383380889893,-0.05788692086935043,4.523533821105957,-1.0035210847854614,1.000665545463562,-0.8080801963806152,1.3883748054504395,3.0337212085723877,-2.0802226066589355,1.9219896793365479,2.319084405899048,1.287110447883606,-0.8075435757637024,-0.22205498814582825,-1.1985304355621338,-2.461320161819458,2.4714581966400146,1.1551406383514404,1.1304842233657837,0.38727450370788574,-2.5102524757385254,1.8451498746871948,1.0712032318115234,2.5761966705322266,1.7384940385818481,0.9752047061920166,6.074644088745117,0.3634324073791504,-3.1530373096466064,2.335031032562256,2.2196195125579834,-1.1994656324386597,-0.18609590828418732,1.2799506187438965,1.8923041820526123,-0.37562668323516846,-0.5473361015319824,2.7910594940185547,-0.323191374540329,2.0800061225891113,1.7792330980300903,-0.28801995515823364,2.5332911014556885,0.2026124894618988,2.4693291187286377,-3.365521192550659,1.8227629661560059,-0.8108879327774048,0.9512746334075928,-3.4916529655456543,-2.643303394317627,-1.0101803541183472,0.8621609210968018,0.7415394186973572,0.698191225528717,1.975674033164978,-0.06356339156627655,2.6902081966400146,-3.4893736839294434,1.8360424041748047,1.556247591972351,-0.2075624167919159,-2.399327039718628,0.43481168150901794,-0.8797482848167419,-0.07436713576316833,3.7480063438415527,1.349554181098938,-2.712348699569702,1.5145037174224854,1.4866575002670288,-1.557486653327942,-1.680576205253601,1.1027660369873047,-0.9051808714866638,-0.5294937491416931,-1.243368148803711,-3.8160150051116943,3.743258237838745,1.51011061668396,-2.5498034954071045,-1.9283990859985352,-0.9500772356987,1.1637195348739624,-0.40583163499832153,0.7708622217178345,3.20971417427063,-0.23976103961467743,2.0637712478637695,-0.2052995264530182,-1.9267557859420776,0.5083983540534973,-2.284376621246338,2.4047317504882812,0.7817901968955994,-0.07674559950828552,0.24195176362991333,2.647625684738159,-2.313791036605835]",2026-05-18T03:28:38.440Z,
4,"[1.086564540863037,2.951878786087036,2.0157365798950195,-2.0713977813720703,1.8551368713378906,3.119062662124634,2.614689826965332,-3.057612419128418,-1.260714054107666,-8.099238395690918,3.1320910453796387,-4.342094898223877,-2.4638729095458984,0.971871018409729,-2.536942958831787,-1.4681798219680786,0.21777790784835815,-3.203495740890503,0.4065794348716736,-3.356480836868286,3.0646681785583496,-5.222222805023193,1.4771195650100708,4.400608062744141,2.297985792160034,4.323063373565674,4.943168640136719,-0.22836759686470032,-1.6054528951644897,-5.006795406341553,-1.5628149509429932,8.672998428344727,-1.2479968070983887,1.3172845840454102,-1.7038133144378662,2.151561975479126,5.304637432098389,-5.585574150085449,-1.19907546043396,3.366246223449707,2.00750994682312,-2.0187039375305176,0.022875003516674042,-1.3465572595596313,-5.292741298675537,4.2088727951049805,2.7431185245513916,-0.9035584926605225,-0.762060821056366,-4.705089569091797,3.701925754547119,-0.9531728029251099,5.032504081726074,2.9013752937316895,1.6819294691085815,9.621102333068848,1.2677346467971802,-5.624391555786133,2.350430965423584,4.286248683929443,-2.353990316390991,0.4856298565864563,3.557033061981201,3.1685264110565186,-0.07531551271677017,0.3340800404548645,7.250726222991943,-0.08605916053056717,4.024145603179932,3.9938416481018066,1.9797106981277466,5.002253532409668,-0.36718353629112244,6.0107879638671875,-4.9614996910095215,2.872997760772705,-0.7494478225708008,2.4564857482910156,-5.193410873413086,-4.611168384552002,-0.46527084708213806,2.779498338699341,-0.0971570611000061,0.03193875402212143,4.279141426086426,0.037829577922821045,3.8185222148895264,-7.563838481903076,3.9440512657165527,2.405825614929199,0.7994862794876099,-4.621395111083984,0.9673789739608765,-2.3945980072021484,-1.6748908758163452,8.125256538391113,2.4010837078094482,-3.5799458026885986,3.2295162677764893,1.534295678138733,-4.191497325897217,-4.756659984588623,3.8387093544006348,-1.5092337131500244,-0.32219767570495605,-3.234760046005249,-7.4870381355285645,7.405661582946777,2.9942855834960938,-2.891505241394043,-4.71182918548584,-1.137757420539856,3.272698402404785,-0.819771945476532,0.38989943265914917,3.7875993251800537,0.1543840765953064,2.8406519889831543,-0.49917033314704895,-3.272754669189453,1.368723750114441,-4.475433826446533,4.730883598327637,1.2665959596633911,1.8335998058319092,1.8882390260696411,2.1595799922943115,-4.312495231628418]",2026-05-18T03:31:17.075Z,
5,"[0.7679717540740967,2.397397041320801,1.713525414466858,-1.2092646360397339,1.8625952005386353,3.4493072032928467,2.6006646156311035,-1.4752073287963867,-0.3940342366695404,-5.836140155792236,3.295903444290161,-4.118252277374268,-1.3985058069229126,0.9331110715866089,-3.5645575523376465,-1.3672209978103638,1.3504741191864014,-4.067818641662598,0.399655282497406,-2.2997589111328125,2.2095460891723633,-4.482401371002197,2.032973289489746,3.1008031368255615,0.7959026098251343,3.7357096672058105,4.205338478088379,0.35573017597198486,-1.8762989044189453,-5.474535942077637,-1.9000715017318726,6.0946173667907715,-1.1957931518554688,1.7516542673110962,-0.7779334783554077,1.7945588827133179,3.6948883533477783,-2.995567798614502,0.3790660500526428,1.8189154863357544,0.4443674385547638,-1.7668753862380981,-0.4959515631198883,-0.9653258919715881,-4.705777645111084,2.7277727127075195,3.1552469730377197,-0.5239658355712891,0.39540350437164307,-4.4789137840271,4.254832744598389,0.09457005560398102,2.6714422702789307,1.9154528379440308,1.3292303085327148,8.195016860961914,-0.2575704753398895,-5.2139129638671875,1.716138482093811,4.170806884765625,-2.619237184524536,1.1656419038772583,2.871250867843628,1.34674072265625,0.1093016117811203,0.35990601778030396,3.5381901264190674,1.4790112972259521,4.10132360458374,4.023406028747559,0.3061518669128418,3.068256139755249,-0.9393535852432251,3.4456310272216797,-3.4544870853424072,4.194434642791748,-1.3455240726470947,1.1134709119796753,-3.1713411808013916,-4.450315475463867,0.6010594964027405,1.8129311800003052,1.351900339126587,0.3677386939525604,2.459414005279541,1.130698323249817,4.751106262207031,-5.86941385269165,2.701730728149414,2.2142906188964844,0.8081689476966858,-3.2674310207366943,1.2118194103240967,-2.935974597930908,-0.5672692060470581,7.036849498748779,2.0022897720336914,-3.7139265537261963,2.782968282699585,2.971076488494873,-3.5738823413848877,-2.5970892906188965,1.5108722448349,-0.4120473861694336,-0.25376442074775696,-2.14623761177063,-5.445204257965088,5.451345443725586,1.3086854219436646,-3.5602195262908936,-2.815619468688965,-1.6854643821716309,1.1277894973754883,-1.1552550792694092,0.22879329323768616,3.856566905975342,-1.4884018898010254,3.358894109725952,0.44667577743530273,-4.0535502433776855,0.4511116147041321,-3.306941032409668,2.983090400695801,2.556269884109497,1.8210170269012451,0.6631624698638916,2.0435352325439453,-3.217625856399536]",2026-05-18T03:32:44.821Z,
6,"[0.7018389701843262,0.6275224685668945,1.3624187707901,-0.46669188141822815,2.093874454498291,1.784305214881897,2.1915173530578613,-1.573818564414978,-1.1777616739273071,-5.632816791534424,2.014718770980835,-3.491617441177368,-1.5641331672668457,0.5166833400726318,-2.679361343383789,-1.1767255067825317,0.3138945400714874,-2.9706687927246094,-0.6682682037353516,-1.983202338218689,1.5939961671829224,-3.884920835494995,1.7129303216934204,4.099389553070068,1.4242559671401978,3.271881103515625,4.5205864906311035,0.0524141900241375,-1.5232259035110474,-3.6555182933807373,-0.48437783122062683,5.758242607116699,0.07880153506994247,-0.0916992649435997,-1.7188884019851685,2.198819637298584,4.473255157470703,-3.1984591484069824,-0.20616528391838074,2.885409355163574,1.4490447044372559,-0.9199386239051819,0.38119620084762573,-2.082334041595459,-3.069550037384033,3.3144001960754395,2.2145278453826904,-0.03892351686954498,-1.0579030513763428,-3.5030415058135986,3.1937639713287354,-0.8526568412780762,4.368927955627441,1.654584527015686,1.21851646900177,7.939063549041748,1.1375579833984375,-4.117115020751953,2.4593005180358887,3.6179497241973877,-1.7094924449920654,0.6952531337738037,2.490135908126831,1.833387017250061,-0.27017343044281006,0.34607529640197754,5.272350311279297,1.1133549213409424,2.5760107040405273,3.3952114582061768,0.8656107187271118,3.9792845249176025,-1.0958045721054077,4.079109191894531,-3.884859323501587,1.8533130884170532,-1.5354650020599365,1.881757378578186,-3.730818033218384,-3.7433996200561523,-0.6225481629371643,1.740658164024353,0.9252980351448059,0.28388383984565735,2.439753532409668,1.0197728872299194,3.96272349357605,-4.42415189743042,3.1989707946777344,1.4490256309509277,0.6884811520576477,-2.9745352268218994,1.1126065254211426,-1.135776162147522,-1.1861965656280518,5.301758766174316,2.302128553390503,-3.800990343093872,2.836341142654419,2.5204904079437256,-2.9514691829681396,-3.2683658599853516,2.700982093811035,-1.9080159664154053,-0.3280966877937317,-3.2035911083221436,-5.679782390594482,4.895758628845215,2.3846404552459717,-1.5772249698638916,-3.5295684337615967,-1.1107038259506226,2.7240684032440186,-0.7295014262199402,-0.14309541881084442,2.770162582397461,-0.9124677181243896,3.296051263809204,-0.17593538761138916,-3.47133207321167,0.8654207587242126,-3.259019613265991,3.2172932624816895,0.6477039456367493,1.5618845224380493,1.1783636808395386,1.9194599390029907,-3.6965172290802]",2026-05-18T03:34:36.560Z,
7,"[1.1393603086471558,1.6827068328857422,1.1423437595367432,-1.6914128065109253,1.7760547399520874,3.090608835220337,1.7377526760101318,-2.0423569679260254,-2.0065417289733887,-5.738622188568115,1.4358431100845337,-3.7940170764923096,-1.495421051979065,0.8366230726242065,-1.8838399648666382,-0.7033629417419434,0.5965235233306885,-3.485300064086914,1.176634669303894,-2.574122428894043,2.4606199264526367,-4.158699989318848,2.2275102138519287,5.014510631561279,2.265953302383423,3.139472723007202,4.564422607421875,0.5514113903045654,-1.7903189659118652,-4.920648574829102,-1.460013508796692,7.291640758514404,-0.6260408163070679,2.013477325439453,-1.5121924877166748,2.1637117862701416,4.884327411651611,-5.062098503112793,-0.45166653394699097,2.634195566177368,1.5051237344741821,-1.2655580043792725,-0.6671202182769775,-1.4509507417678833,-4.502166271209717,3.510420322418213,2.4573118686676025,-0.034913964569568634,-1.0388187170028687,-3.5035996437072754,2.569404125213623,-0.790784478187561,3.7952706813812256,3.3658881187438965,1.7357518672943115,8.374983787536621,-0.002337699756026268,-5.538902282714844,2.4762048721313477,3.3460261821746826,-1.7292771339416504,0.04941453039646149,3.4420549869537354,2.1152710914611816,-0.7344533801078796,0.024629421532154083,5.5375518798828125,0.25217747688293457,3.0487422943115234,3.1254239082336426,0.9261431097984314,4.2387919425964355,0.49010688066482544,5.483399868011475,-3.939819812774658,2.563777208328247,-0.9543125629425049,2.166818618774414,-3.2794864177703857,-3.7495737075805664,-1.0458446741104126,2.2374653816223145,-0.5351095795631409,0.9651010632514954,4.241824626922607,0.3693891167640686,4.496950149536133,-6.626437664031982,4.048577308654785,2.9628520011901855,0.7850885391235352,-2.9928500652313232,0.37282031774520874,-1.7014992237091064,-0.8703470230102539,6.722813129425049,2.2796223163604736,-4.006160736083984,2.2961695194244385,2.063121795654297,-3.2783620357513428,-3.007110834121704,2.4655046463012695,-1.7476633787155151,-0.2232377529144287,-3.3842203617095947,-7.0762619972229,6.1296539306640625,2.514647960662842,-3.044936418533325,-3.9146907329559326,-1.4706335067749023,2.846966028213501,-0.9265859127044678,0.33400028944015503,3.442108631134033,-0.24497687816619873,2.5120811462402344,-0.5274521708488464,-3.262725830078125,0.7323876023292542,-3.902972459793091,3.559821367263794,1.3699439764022827,1.828905463218689,1.568587303161621,2.954318046569824,-4.197874069213867]",2026-05-18T03:36:08.026Z,
8,"[-0.500851035118103,0.2843073606491089,1.1141613721847534,0.061458803713321686,1.2683019638061523,2.596750020980835,3.23490834236145,-2.119730234146118,-0.3364810049533844,-7.1376872062683105,2.2315361499786377,-4.012136936187744,-2.9829444885253906,-0.014572285115718842,-3.716015338897705,-1.5531506538391113,0.8923196792602539,-0.7932878732681274,-1.7007054090499878,-1.3173210620880127,2.7291064262390137,-3.4964005947113037,1.233859896659851,2.89961314201355,1.9775800704956055,3.402510404586792,3.9428293704986572,-1.0662117004394531,-1.9558172225952148,-3.604452133178711,-0.3361442983150482,6.100192070007324,-0.6314934492111206,0.540615439414978,-0.9675372838973999,1.246202826499939,4.232050895690918,-2.991295576095581,-0.9384075999259949,2.631254196166992,1.6911489963531494,-1.191365122795105,0.2396031767129898,-1.5130751132965088,-1.962454080581665,2.3141000270843506,1.9844454526901245,1.2917450666427612,-1.003515601158142,-3.350032329559326,4.066985607147217,-0.7612370252609253,5.01873779296875,0.8842005133628845,1.8777896165847778,8.689510345458984,1.6408650875091553,-3.69921612739563,2.3375167846679688,2.5459673404693604,-1.113271713256836,1.5896512269973755,1.425413727760315,3.721442461013794,0.7274088263511658,0.8579617738723755,5.706643104553223,0.9064825773239136,1.5927486419677734,1.9441882371902466,0.9879694581031799,3.733189821243286,-0.2700434923171997,3.2632272243499756,-4.29680061340332,0.6037908792495728,-1.5272629261016846,1.7650401592254639,-4.917888164520264,-3.755180597305298,-1.6744072437286377,1.801404356956482,-0.08231207728385925,0.6662572622299194,2.234081983566284,0.8303321003913879,4.2182159423828125,-5.193427085876465,2.8516650199890137,1.0414959192276,0.2654259502887726,-2.715217113494873,0.1624319702386856,-0.7099300026893616,-1.0465763807296753,4.2542009353637695,3.9031519889831543,-4.454993724822998,3.125230550765991,2.7101891040802,-1.7651244401931763,-2.9347634315490723,2.138615131378174,-1.0087270736694336,-0.6187460422515869,-3.094357967376709,-5.3417229652404785,3.553649425506592,2.8916995525360107,-2.2332632541656494,-3.896317481994629,-0.9016507863998413,4.642111301422119,-0.16398629546165466,-1.1272333860397339,2.8179855346679688,-0.892690896987915,4.235036373138428,-0.8919125199317932,-2.6617212295532227,0.529317319393158,-2.207568407058716,3.772090196609497,0.45275595784187317,0.3130047917366028,1.970194697380066,1.9893524646759033,-4.018455505371094]",2026-05-18T03:37:36.088Z,
9,"[-0.6298753023147583,-0.24343101680278778,1.4564939737319946,0.4803670346736908,1.724474549293518,2.128718852996826,2.114999532699585,-1.2330094575881958,-0.8900571465492249,-4.566184043884277,2.1690192222595215,-3.3392093181610107,-1.4030393362045288,1.1932417154312134,-3.087786912918091,-1.4137370586395264,1.3173022270202637,-2.7917439937591553,-0.8899048566818237,-1.3377559185028076,0.9873602390289307,-3.9556949138641357,1.7031258344650269,2.565059185028076,0.5995535254478455,2.851487398147583,4.24001932144165,-0.46925824880599976,-1.2342159748077393,-3.033752918243408,0.08935163915157318,4.4740471839904785,0.3561799228191376,0.166692316532135,-1.0853838920593262,1.35916006565094,3.6492245197296143,-1.9165198802947998,0.280584454536438,1.9816027879714966,0.15854837000370026,-1.1934876441955566,0.11367585510015488,-1.2055768966674805,-3.0629050731658936,2.2680068016052246,2.1428332328796387,-0.21336795389652252,-0.08971822261810303,-3.4826691150665283,4.147589206695557,-0.12702609598636627,3.6497721672058105,0.9263710975646973,0.8449867367744446,6.62668514251709,-0.06881831586360931,-3.833491325378418,1.6715432405471802,3.294480800628662,-1.8989982604980469,0.8227457404136658,2.5252599716186523,0.851145327091217,-0.33041107654571533,0.2918039560317993,3.7717490196228027,1.6297707557678223,2.782531261444092,3.547208309173584,0.5773984789848328,2.21502685546875,-0.9990410208702087,2.3205928802490234,-2.9577343463897705,2.6499969959259033,-0.9537239074707031,0.8116276264190674,-3.078122138977051,-3.3135223388671875,0.18499428033828735,1.5018640756607056,0.8060575723648071,1.21137535572052,0.9762467741966248,1.8157447576522827,3.4527747631073,-4.3134541511535645,1.9468599557876587,1.4732660055160522,0.5801161527633667,-2.6793813705444336,0.5548248291015625,-1.1206775903701782,-1.5475999116897583,5.42189359664917,2.233194351196289,-3.1627345085144043,2.580111503601074,2.815007209777832,-2.7308554649353027,-2.320033550262451,2.175180435180664,-0.6833184361457825,-0.12493559718132019,-2.3419594764709473,-5.172876358032227,3.443434953689575,1.3450895547866821,-2.1658506393432617,-2.8082847595214844,-0.8397587537765503,1.6662908792495728,-1.2207859754562378,0.13518348336219788,2.0359549522399902,-1.9546583890914917,2.785588264465332,-0.5402265787124634,-3.6943867206573486,0.3568979501724243,-3.8555281162261963,2.1374921798706055,1.634187936782837,0.9623626470565796,1.1745951175689697,1.7235639095306396,-2.4580986499786377]",2026-05-18T03:38:31.628Z,
10,"[-0.28887468576431274,1.5454325675964355,1.5719552040100098,-0.10791287571191788,2.1786751747131348,4.0468573570251465,2.1239538192749023,-2.423828125,-0.8668637871742249,-6.53881311416626,2.6433749198913574,-4.3423027992248535,-2.4494218826293945,0.352112352848053,-3.567620038986206,-1.5892969369888306,0.9793621301651001,-4.388254642486572,-0.18935278058052063,-2.324864387512207,2.127300262451172,-4.659826278686523,1.922027349472046,4.30903434753418,1.7144008874893188,4.561367511749268,5.30921745300293,0.5861847400665283,-1.591381549835205,-5.429533958435059,-0.6559932231903076,6.127179145812988,-0.7625461220741272,0.6817470192909241,-1.35941743850708,2.1428821086883545,3.7172064781188965,-3.0614376068115234,0.5422347784042358,3.6578893661499023,1.0810714960098267,-1.8792665004730225,-1.07279372215271,-1.1596659421920776,-3.9632949829101562,3.390209197998047,2.285987615585327,0.6522607803344727,0.17535528540611267,-5.149914741516113,4.169137954711914,1.0672252178192139,4.863463401794434,1.5407333374023438,1.6194700002670288,10.787063598632812,1.9049826860427856,-5.619931221008301,2.2260589599609375,4.345468044281006,-2.1228673458099365,0.6203615665435791,3.1989307403564453,2.5223000049591064,-0.5295253396034241,0.0691661387681961,5.904749393463135,0.9081547856330872,3.2019407749176025,2.976116180419922,-0.10320556908845901,3.9219024181365967,-0.9604077339172363,4.292392253875732,-4.331941604614258,3.3512613773345947,-1.940752625465393,2.3027448654174805,-5.2736616134643555,-4.06701135635376,-0.38651570677757263,1.818552017211914,0.9747238159179688,1.4418094158172607,2.746774673461914,0.49370625615119934,4.705521583557129,-5.32857608795166,2.814582109451294,1.7825958728790283,0.7602789402008057,-4.558913707733154,1.8848342895507812,-1.7887712717056274,-0.6836076974868774,6.352597713470459,2.565136432647705,-4.503914833068848,3.277592182159424,2.793527126312256,-3.161790370941162,-3.6708760261535645,2.0654871463775635,-0.2583528459072113,0.10214022547006607,-3.592862606048584,-6.90364408493042,5.6865620613098145,2.9150052070617676,-3.8578124046325684,-3.4731740951538086,-1.467151403427124,2.8380515575408936,-0.4228409230709076,0.23339572548866272,4.017934799194336,-1.3608081340789795,4.461053848266602,0.24970895051956177,-3.5023820400238037,1.3826770782470703,-4.0738348960876465,3.100219249725342,1.5842139720916748,1.8360081911087036,1.0471504926681519,2.8029913902282715,-3.7881827354431152]",2026-05-18T03:40:56.270Z,
